,date,time,open,high,low,close,volume
0,01/10/2021,00:00:00,43820.01000000,44000.75000000,43792.14000000,43981.07000000,445.43966000
1,01/10/2021,00:05:00,43981.06000000,44000.37000000,43713.38000000,43784.10000000,172.75375000
2,01/10/2021,00:10:00,43784.10000000,43866.14000000,43721.43000000,43763.61000000,100.35483000
3,01/10/2021,00:15:00,43763.62000000,43820.37000000,43698.76000000,43795.56000000,116.70630000
4,01/10/2021,00:20:00,43795.56000000,43849.60000000,43750.03000000,43841.26000000,98.79628000
5,01/10/2021,00:25:00,43841.25000000,43899.79000000,43811.94000000,43872.99000000,87.18266000
6,01/10/2021,00:30:00,43872.99000000,43982.72000000,43864.56000000,43976.22000000,201.36993000
7,01/10/2021,00:35:00,43976.22000000,44059.00000000,43841.55000000,43899.20000000,252.11559000
8,01/10/2021,00:40:00,43899.21000000,43930.00000000,43840.30000000,43894.52000000,139.32556000
9,01/10/2021,00:45:00,43894.52000000,43898.52000000,43723.01000000,43768.30000000,183.00894000
10,01/10/2021,00:50:00,43768.30000000,43770.48000000,43671.44000000,43677.18000000,116.01697000
11,01/10/2021,00:55:00,43677.19000000,43762.98000000,43661.63000000,43694.48000000,88.49024000
12,01/10/2021,01:00:00,43696.14000000,43696.14000000,43467.10000000,43503.80000000,265.14955000
13,01/10/2021,01:05:00,43503.81000000,43624.36000000,43417.61000000,43497.17000000,236.30278000
14,01/10/2021,01:10:00,43497.18000000,43538.00000000,43418.00000000,43486.76000000,134.96442000
15,01/10/2021,01:15:00,43486.77000000,43583.17000000,43486.76000000,43564.77000000,96.63890000
16,01/10/2021,01:20:00,43564.78000000,43617.99000000,43558.84000000,43596.65000000,72.73114000
17,01/10/2021,01:25:00,43596.65000000,43612.09000000,43550.01000000,43609.43000000,77.82546000
18,01/10/2021,01:30:00,43609.43000000,43677.25000000,43579.11000000,43656.29000000,81.60496000
19,01/10/2021,01:35:00,43656.29000000,43687.11000000,43650.01000000,43665.48000000,38.29993000
